,Datetime,Text
0,2021-02-28 23:59:59+00:00,@tokenstate Solutions are coming. ETH is isn’t going anywhere $ZKS
1,2021-02-28 23:59:40+00:00,@jimmyfallon Seinfeld because my husband has watched it every day and every night for the last 20-plus years.
2,2021-02-28 23:59:30+00:00,"@pipocriptos Si, si, la duda es si remontamos o nos queda un 41k Btc y 1200 eth. Yo estoy loca ya de escuchar you Tubers 🙄mañana veremos que tal Wall Street..."
3,2021-02-28 23:59:28+00:00,@Crypto_Fire1 @illuviumio This time is so high risk all price on market is change with fast every minutes. And we all know $ETH price is so expensive and it will be make all DeFi will be difficult to be sold if gas price not cheap. What your plan to keep survive on time like this ?
4,2021-02-28 23:59:24+00:00,Cryptocurrencies $ETH $LTC $DASH $XMR $ZCASH https://t.co/Vn54eOgqG9 https://t.co/69G0rG2wPi
5,2021-02-28 23:59:19+00:00,"$ADA is UP 300% in last 2 months...

$ETH is a better buy here..  in the short term for sure..

One is UP against historical PRICE CEILING..($ADA)

One is NOT UP against anything.    $ETH(having made a $2200 high just weeks ago)

I own a lot of $ETH, and a little of $ADA(for now) https://t.co/hc1XXuphod"
6,2021-02-28 23:59:17+00:00,@linkchainlink eth just didnt find the good form of adaptation. maybe will have other new use case that didnt born. tacos and hamburgers can be the least polluting if they are made to go they could have a carbon footprint discount. and increase healthy content.
7,2021-02-28 23:59:09+00:00,"BTC,ETH主要通貨が下げてるなか頑張ってるなー $NANJ
4年前のあの興奮を彷彿させる🚀🚀🚀
$Akita  $SHIBA https://t.co/bhnr7PhByD"
8,2021-02-28 23:59:08+00:00,@Martin45623977 @elonmusk same eth to the moon 🚀 🎑
9,2021-02-28 23:59:07+00:00,@RandomTask555 YOP/ETH looks even better
10,2021-02-28 23:59:00+00:00,#cryptoart #art #digitalart #crypto #bitcoin #nft #blockchain #ethereum #cryptocurrency #cryptoartist #cryptonews #blockchainart #raredigitalart #d #symmetry #cryptotraders #cryptoanarchy #bitcoinart #contemporaryart #nftart #cryptotrading #abstractart #eth #btc #rarible #psyched https://t.co/EwGiVH21MB
11,2021-02-28 23:58:59+00:00,The crisis in Ethiopia was started when the ETH gov’t declared war in Oromia &amp; put politicians behind bars. #AbiyMustGo #OromoProtests #StarvingForJustice @SecBlinken @SenatorMenendez @USEmbassyAddis @dominicraab @jamesduddridge @FCDOGovUK
12,2021-02-28 23:58:59+00:00,"We are pleased to announce that a new option to purchase UDG #Steam keys using #cryptocurrency has been added to game website.  #IndieGame #IndieWatch #Blockchain #Coinbase #Ethereum #bitcoin #BTC #ETH #LTC #IndieGaming #eSports #DiscGolf #Frolf

https://t.co/B99XunfrTZ https://t.co/lkbUO5qhV8"
13,2021-02-28 23:58:52+00:00,I have some eth if someone need to mint something.
14,2021-02-28 23:58:49+00:00,@tokenstate 2022: “eth’s logo could be better...” https://t.co/FnWEAP4wGq
15,2021-02-28 23:58:47+00:00,@diplo is secretly @jimmyfallon
16,2021-02-28 23:58:46+00:00,Here’s how the Purpose Bitcoin ETF differs from Grayscale’s GBTC Trust $BTC $ETH #Bitcoin #Ethereum #Cryptocurrency
17,2021-02-28 23:58:41+00:00,@Defacedstudio My first NFT and the first in a series of Non Fungible Vases has starting bid price .2 ETH https://t.co/6R0w6HyhAl
18,2021-02-28 23:58:40+00:00,"@Fiskantes Revert to ETH, congestion is meaningless."
19,2021-02-28 23:58:36+00:00,@cryptotifosi Abi bu taraftar tokenleri cabuk sönecek gibi duruyor.  Bu arada avax   eth nin  gaz sorunu için  alt yapıyı  üstlenecek  bu konuda fikrin nedir
20,2021-02-28 23:58:35+00:00,"The word ""glorious"" is over-used in #crypto.

But it fits here.

This year will be glorious for $TEL.

#Telcoin #Cryptocurrency #Telfam $BTC $ETH #Bitcoin #Binance #Kucoin #crypto $Xrp $trx $Bnb $ADA $XLM $LTC $Dot #DOGE #plaid #Coinbase #gemini #CoinbasePro #CMC $AAVE $LINK https://t.co/CLrLpLuccg"
