,Datetime,Text
0,2022-05-07 23:59:44+00:00,"🎉FREE #NFT GIVEAWAY🎉
                           
To win:            
1️⃣Follow me &amp; @ONEAPE_
2️⃣Like &amp; Retweet 
3️⃣ Drop your #ETH wallet address        
 
8Hrs
#NFTCommunitys #nftcollector #nftartist #nftart #NFTProject #NFTGiveaway #NFTs ."
1,2022-05-07 23:59:23+00:00,"🚨 DO NOT MISS THE MACRO TREND 🚨

👇#BTC HAS ONLY BROKEN THIS TRENDLINE ONCE, DURING COVID 👇

THE FACTS SAY WE MOVE HIGHER📈

#BTC #ETH #Crypto https://t.co/ALvJgRl9rt"
2,2022-05-07 23:59:22+00:00,"I know #ETH follows #BTC w/ a strong corr., but interesting that #ETH has moved below med.-term support. If this breaks 🔻, we'll probably be testing $2250-$2000 range.

My trending points to May 14th as convergence, but $2550 has been strong support.

https://t.co/x2fBXFLOfV"
3,2022-05-07 23:59:20+00:00,"#goodnight 😴.. ah no … we never stop working 💻🔨 but we love this #NFTProject and hope you’ll love it too.  

#nft #nftcollector #Ethereum #eth #NFTartist #NFTs #NFTdrops #cryptocurrencies #Bitcoin #NFTcollectibles #blockchain https://t.co/0oT0jsoWPa"
4,2022-05-07 23:59:16+00:00,4 hour top movers report #blockchain #crypto #cryptocurrency #kripto #kriptopara #trading #rixx #binance #bnb #bitcoin #btc #ethereum #eth https://t.co/mn09SPqf4e
5,2022-05-07 23:59:16+00:00,"Can someone plz tel #Biden that we need to try for #PEACE b\w #Russians &amp; #Ukraine &amp; stop the #RussiaUkraineWar ... NOT FLAME it with more #WEAPONS ..... #Does this OLD man, not know #RUSSIA is a #NUKEs power??????
.
$TSLA $QQQ $AMC #Bitcoin #BTC $ARKK $GME $DOGE #ETH $AAPL $SPY https://t.co/G0CNIoLFCD"
6,2022-05-07 23:59:13+00:00,"【123战法早8点播报-2022.5.8】
#BTC  日线：空，小时线：空
#ETH       日线：空，小时线：空
（BTC36200，ETH2700，分水岭）"
7,2022-05-07 23:59:01+00:00,"#Bitcoin Last Price $35457 #BTC 🚀
Daily Indicators:
-RSI: 35.4
-MA(20): 38945
-MA(50): 41621
-MA(200): 46530
-Bollinger B. lower/upper: 35678/42211

#Ethereum Last Price $2634 #ETH
-RSI: 37.7
-MA(20): 2885
-MA(50): 3062
-MA(200): 3425
-BB: 2632/3139

#Crypto #Live

63884"
8,2022-05-07 23:58:59+00:00,"#Bitcoin maxis will look back at this and ask themselves how didn't they see it coming when it was so obvious.
#BTC #Ethereum #ETH #inflation #Cryptos https://t.co/K1mjDDLKTs https://t.co/s1w9y5hp7w"
9,2022-05-07 23:58:42+00:00,@ArtvisionNFT Cute owls club #NFTs #NFT #ETH #USA #nftart #openseaart #MetaverseNFT https://t.co/oR8wTm0B2j
